age,gender,year,AshlandUniversity,BradleyUniversity,CarletonUniversity,IthacaCollege,MiamiUniversity,MichiganStateUniversity,MontanaStateUniversity,NovaSoutheasternUniversity,OSUNewark,PacificLutheranUniversity,PennStateAbington,SanDiegoStateUniversity,TexasAandM,UCDavis,UCRiverside,UniversityOfFlorida,UniversityOfSouthernMississippi,UniversityOfToronto,UniversityOfVirginia,VirginiaCommonwealthUniversity,1 African-American,2 Asian-American,3 Native Hawaiian and other Pacific Islander,4 Latino or Hispanic,5 Native American and Alaska Native,"6 White, non-Hispanic or Latino",7 Multiracial,Asian,European,Indian,Middle Eastern,Other,"('Business', ['Accounting', 'Advertising', 'Finance', 'Marketing', 'Commerce', 'Business', 'Economics', 'Management'])","('Science', ['Environmental Science', 'Computer Science', 'Biomedical Science', 'Chemistry', 'Human Biology', 'Animal Science', 'Biochemistry', 'Biology', 'Mathematics', 'Marine Biology', 'Microbiology', 'Neuroscience', 'BIMS', 'Neurobiology, Physiology and Behavior'])","('Medical Science', ['Medicine', 'Nursing', 'Occupational Therapy', 'Nutritional Science', 'Community Health', 'Physical Therapy', 'Public Health', 'Pharmacology', 'Health Science', 'Allied Health', 'Speech Pathology', 'Life Science', 'Hospital Administration'])","('Engineering', ['Biomedical Engineering', 'Chemical Engineering', 'Computer Engineering', 'Electrical Engineering', 'Engineering', 'Mechanical Engineering', 'Civil Engineering'])","('Humanities and Social Science', ['English', 'Communication', 'History', 'Linguistics', 'Sociology', 'Education', 'Elementary Education', 'Child and Family Development', 'Political Science', 'Special Education', 'Human Development', 'Anthropology', 'Art', 'Theatre', 'University Studies', 'Graphic Design'])","('Sports', ['Exercise and Sport Science', 'Exercise Science', 'Sports Industry', 'Sports Management', 'Applied Physiology and Kinesiology', 'Kinesiology', 'Athletic Training'])","('Behavioral Science', ['Cognitive Science', 'Applied Psychology', 'Criminal Justice', 'Criminology', 'Psychology', 'Social Work', 'psychological and social sciences'])","('Other', ['Other'])",anagrams1,anagrams2,attention,attentioncorrect,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,div3filler,elm_01,elm_02,elm_03,elm_04,elm_05,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest1,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,kposition,kratio,lposition,lratio,nposition,nratio,rposition,rratio,vposition,vratio,mcmost1,mcmost2,mcmost3,mcmost4,mcmost5
2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,7,2,6,1,7,2,6,3,7,2,-1,7,6,7,8,9,3,3,3,4,3,2,1,3,2,4,4,2,3,2,4,0,2,2,2,1,2,2,4,2,4,4,4,2,4,4,1,1,3,5,6,3,4,3,3,6,4,3,6,6,5,1,3,2,4,1,3,2,4,1,3,2,2,1,1,2
1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,5,6,2,5,7,5,3,-1,3,3,4,4,4,2,2,1,2,2,3,3,2,1,3,3,3,3,2,3,0,-1,1,0,1,2,2,1,3,4,2,4,2,4,4,2,1,1,2,5,3,3,2,4,6,4,3,7,6,4,2,3,1,3,2,3,1,2,2,2,1,2,1,1,2
3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,7,3,7,7,7,2,7,2,-1,9,6,5,8,8,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,4,2,4,2,4,2,5,4,1,1,5,1,6,1,5,4,1,6,6,3,6,6,6,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2
1,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,7,4,3,1,7,1,-1,5,7,5,8,5,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,0,3,2,2,3,3,3,4,5,5,5,4,2,3,4,2,1,1,6,4,3,5,3,3,6,4,3,6,5,5,2,NA,2,1,2,1,2,0,2,0,1,1,1,1,2
1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,7,5,2,6,2,2,6,-1,6,2,7,3,4,3,3,3,3,4,2,2,3,4,4,3,2,2,4,4,-1,1,1,0,1,2,2,4,2,4,4,4,4,5,4,1,1,1,6,5,2,5,4,1,6,6,3,7,7,3,2,5,2,4,2,4,1,3,1,1,2,1,1,2,2
1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,NA,NA,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,6,5,6,4,6,1,6,2,7,3,-1,4,4,7,6,7,3,2,1,3,2,4,3,3,2,3,3,4,4,1,3,1,2,1,0,1,2,3,4,2,3,2,4,4,4,4,2,1,1,2,5,3,4,4,2,6,5,4,6,6,6,2,6,2,6,2,6,2,6,1,0,1,2,1,2,2
4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,5,5,6,7,1,5,1,-1,8,6,7,5,5,2,1,2,3,2,3,3,3,3,4,2,2,2,2,3,-3,0,1,2,2,4,4,3,4,4,2,3,3,4,4,1,1,3,4,5,5,2,3,3,6,5,4,5,6,6,1,1,1,3,2,3,2,3,1,3,1,2,1,1,2
2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,7,5,4,3,7,5,5,1,5,5,-1,4,9,5,4,4,4,3,2,4,4,2,4,4,2,4,4,4,4,4,4,2,1,1,0,2,4,4,3,1,4,4,3,5,4,3,2,1,3,2,4,4,3,3,4,6,6,3,6,6,2,1,3,2,3,2,3,1,3,1,3,1,1,1,1,2
3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,1,5,4,4,2,6,5,-1,6,5,4,3,7,1,2,1,3,2,3,2,1,1,4,3,2,3,1,4,0,2,1,1,1,3,4,3,2,3,3,3,4,3,3,1,1,1,2,6,4,4,2,4,6,5,2,6,5,5,1,3,2,2,2,3,2,4,2,5,2,1,1,2,2
NA,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,3,4,4,4,4,3,2,5,-1,2,2,2,4,4,1,4,3,3,3,3,3,3,3,2,2,2,1,2,3,-2,-2,1,1,1,1,1,1,4,3,3,2,3,1,2,3,1,1,2,3,3,3,1,3,NA,2,2,2,3,3,2,NA,1,NA,2,3,1,NA,1,6,2,2,1,2,2
